protocol,noise_model,parameter,circuit_label,n_failed_test_rounds,decoded_output,correct_value,match,computation_outcomes_count
FK12,malicious,0.6,circuit5463.qasm,26,None,0,✗,"{'111': 32, '000': 28, '011': 28, '100': 12}"
FK12,malicious,0.6,circuit8843.qasm,26,None,1,✗,"{'100': 35, '000': 44, '011': 11, '111': 10}"
FK12,malicious,0.6,circuit3966.qasm,30,1,1,✓,"{'101': 50, '001': 42, '000': 4, '100': 4}"
FK12,malicious,0.6,circuit2875.qasm,27,None,1,✗,"{'011': 24, '111': 12, '100': 5, '000': 3, '001': 23, '110': 8, '101': 22, '010': 3}"
FK12,malicious,0.6,circuit5231.qasm,31,None,0,✗,"{'001': 45, '100': 7, '101': 43, '000': 5}"
FK12,malicious,0.6,circuit6764.qasm,21,None,0,✗,"{'100': 44, '000': 29, '011': 13, '111': 14}"
FK12,malicious,0.6,circuit9797.qasm,36,None,0,✗,"{'010': 22, '000': 20, '110': 20, '100': 38}"
FK12,malicious,0.6,circuit3874.qasm,28,None,1,✗,"{'010': 41, '100': 5, '011': 4, '110': 24, '101': 14, '000': 5, '001': 6, '111': 1}"
FK12,malicious,0.6,circuit9941.qasm,24,None,0,✗,"{'110': 26, '011': 7, '010': 15, '000': 16, '111': 6, '100': 13, '101': 9, '001': 8}"
FK12,malicious,0.6,circuit2569.qasm,30,None,1,✗,"{'011': 33, '000': 6, '111': 21, '100': 16, '010': 8, '101': 10, '001': 4, '110': 2}"
FK12,malicious,0.6,circuit8872.qasm,35,None,0,✗,"{'100': 29, '110': 23, '010': 25, '000': 23}"
FK12,malicious,0.6,circuit0970.qasm,36,None,0,✗,"{'100': 18, '000': 12, '001': 3, '110': 27, '010': 29, '101': 9, '111': 1, '011': 1}"
FK12,malicious,0.6,circuit0389.qasm,39,None,1,✗,"{'101': 1, '100': 26, '110': 21, '010': 30, '000': 19, '111': 1, '001': 2}"
FK12,malicious,0.6,circuit9534.qasm,28,None,1,✗,"{'101': 21, '000': 14, '010': 11, '110': 8, '001': 11, '100': 21, '111': 7, '011': 7}"
FK12,malicious,0.6,circuit7354.qasm,17,None,1,✗,"{'111': 11, '110': 33, '010': 46, '011': 10}"
FK12,malicious,0.6,circuit6467.qasm,31,None,1,✗,"{'001': 13, '110': 19, '101': 14, '111': 7, '011': 12, '010': 13, '100': 11, '000': 11}"
FK12,malicious,0.6,circuit0874.qasm,31,None,0,✗,"{'001': 19, '101': 10, '100': 25, '000': 18, '010': 4, '011': 11, '110': 5, '111': 8}"
FK12,malicious,0.6,circuit2595.qasm,29,None,0,✗,"{'111': 39, '100': 9, '011': 26, '001': 8, '101': 4, '000': 13, '010': 1}"
FK12,malicious,0.6,circuit0736.qasm,32,None,0,✗,"{'001': 9, '101': 1, '100': 26, '111': 28, '000': 17, '011': 13, '110': 4, '010': 2}"
FK12,malicious,0.6,circuit7844.qasm,24,None,1,✗,"{'100': 15, '000': 7, '001': 14, '010': 30, '101': 14, '110': 8, '011': 6, '111': 6}"
FK12,malicious,0.6,circuit9496.qasm,28,None,1,✗,"{'001': 7, '010': 4, '101': 11, '111': 23, '011': 35, '000': 8, '100': 11, '110': 1}"
FK12,malicious,0.6,circuit7404.qasm,29,None,1,✗,"{'000': 14, '011': 43, '111': 34, '100': 9}"
FK12,malicious,0.6,circuit1761.qasm,27,None,1,✗,"{'011': 22, '101': 23, '001': 32, '111': 23}"
FK12,malicious,0.6,circuit0614.qasm,26,None,1,✗,"{'011': 7, '101': 12, '010': 40, '000': 5, '110': 22, '111': 7, '001': 6, '100': 1}"
FK12,malicious,0.6,circuit3217.qasm,25,None,1,✗,"{'111': 31, '011': 41, '100': 16, '000': 8, '010': 2, '101': 1, '001': 1}"
FK12,malicious,0.6,circuit6682.qasm,29,None,1,✗,"{'111': 33, '011': 41, '000': 8, '100': 18}"
FK12,malicious,0.6,circuit4894.qasm,34,None,0,✗,"{'110': 44, '001': 16, '101': 12, '010': 28}"
FK12,malicious,0.6,circuit9992.qasm,37,None,0,✗,"{'000': 12, '010': 19, '100': 10, '011': 11, '001': 19, '101': 15, '111': 7, '110': 7}"
