protocol,noise_model,parameter,circuit_label,n_failed_test_rounds,decoded_output,correct_value,match,computation_outcomes_count
FK12,malicious,0.0,circuit5463.qasm,0,0.0,0,✓,"{'100': 40, '011': 60}"
FK12,malicious,0.0,circuit8843.qasm,0,1.0,1,✓,"{'000': 25, '100': 55, '011': 13, '111': 7}"
FK12,malicious,0.0,circuit3966.qasm,0,1.0,1,✓,"{'001': 35, '101': 58, '100': 5, '000': 2}"
FK12,malicious,0.0,circuit2875.qasm,0,1.0,1,✓,"{'101': 25, '111': 24, '011': 13, '010': 3, '001': 8, '100': 9, '110': 11, '000': 7}"
FK12,malicious,0.0,circuit5231.qasm,0,0.0,0,✓,"{'001': 49, '101': 31, '000': 10, '100': 10}"
FK12,malicious,0.0,circuit6764.qasm,0,0.0,0,✓,"{'100': 20, '000': 60, '111': 19, '011': 1}"
FK12,malicious,0.0,circuit9797.qasm,0,0.0,0,✓,"{'010': 3, '000': 59, '100': 3, '110': 35}"
FK12,malicious,0.0,circuit3874.qasm,0,1.0,1,✓,"{'001': 16, '110': 62, '010': 5, '111': 5, '101': 1, '000': 7, '100': 4}"
FK12,malicious,0.0,circuit9941.qasm,0,0.0,0,✓,"{'100': 13, '010': 38, '111': 12, '101': 5, '001': 18, '110': 1, '011': 11, '000': 2}"
FK12,malicious,0.0,circuit2569.qasm,0,1.0,1,✓,"{'000': 22, '110': 8, '111': 52, '001': 18}"
FK12,malicious,0.0,circuit8872.qasm,0,0.0,0,✓,"{'000': 61, '010': 7, '110': 26, '100': 6}"
FK12,malicious,0.0,circuit0970.qasm,0,0.0,0,✓,"{'111': 3, '010': 33, '000': 26, '110': 19, '011': 1, '001': 4, '101': 8, '100': 6}"
FK12,malicious,0.0,circuit0389.qasm,0,1.0,1,✓,"{'000': 38, '110': 60, '011': 2}"
FK12,malicious,0.0,circuit9534.qasm,0,1.0,1,✓,"{'110': 20, '100': 14, '001': 12, '101': 13, '111': 21, '000': 17, '010': 1, '011': 2}"
FK12,malicious,0.0,circuit7354.qasm,0,1.0,1,✓,"{'110': 59, '010': 28, '011': 6, '111': 7}"
FK12,malicious,0.0,circuit6467.qasm,0,1.0,1,✓,"{'101': 17, '110': 12, '001': 7, '100': 17, '111': 9, '011': 15, '010': 9, '000': 14}"
