protocol,noise_model,parameter,circuit_label,n_failed_test_rounds,decoded_output,correct_value,match,computation_outcomes_count
FK12,malicious,0.1,circuit0354.qasm,5,1.0,0,✗,"{'100': 28, '000': 34, '110': 4, '101': 3, '001': 6, '011': 6, '111': 18, '010': 1}"
FK12,malicious,0.15,circuit2890.qasm,10,1.0,0,✗,"{'101': 26, '010': 4, '001': 41, '111': 25, '110': 1, '011': 2, '000': 1}"
FK12,malicious,0.15,circuit9009.qasm,11,1.0,0,✗,"{'000': 5, '101': 21, '110': 14, '001': 37, '100': 4, '111': 12, '011': 3, '010': 4}"
FK12,malicious,0.2,circuit8843.qasm,8,0.0,1,✗,"{'100': 41, '011': 20, '000': 31, '111': 8}"
FK12,malicious,0.2,circuit3217.qasm,10,0.0,1,✗,"{'111': 37, '000': 14, '011': 34, '010': 5, '110': 2, '100': 7, '101': 1}"
FK12,malicious,0.2,circuit3927.qasm,5,0.0,1,✗,"{'011': 33, '001': 10, '111': 8, '101': 32, '000': 5, '010': 3, '110': 5, '100': 4}"
FK12,malicious,0.2,circuit7116.qasm,8,1.0,0,✗,"{'010': 19, '100': 3, '110': 22, '011': 13, '111': 24, '001': 11, '000': 5, '101': 3}"
FK12,malicious,0.25,circuit9534.qasm,14,0.0,1,✗,"{'101': 12, '011': 4, '000': 21, '001': 24, '100': 19, '111': 5, '010': 7, '110': 8}"
FK12,malicious,0.25,circuit3217.qasm,19,0.0,1,✗,"{'100': 9, '000': 19, '011': 29, '111': 34, '110': 2, '001': 2, '101': 2, '010': 3}"
FK12,malicious,0.25,circuit2890.qasm,14,1.0,0,✗,"{'001': 34, '101': 34, '111': 19, '010': 6, '000': 1, '100': 2, '011': 3, '110': 1}"
FK12,malicious,0.25,circuit8792.qasm,12,1.0,0,✗,"{'110': 20, '001': 35, '101': 26, '111': 6, '000': 6, '100': 2, '011': 3, '010': 2}"
FK12,malicious,0.25,circuit2994.qasm,14,0.0,1,✗,"{'101': 26, '110': 14, '010': 13, '111': 1, '001': 38, '100': 4, '000': 4}"
FK12,malicious,0.25,circuit0138.qasm,9,0.0,1,✗,"{'110': 39, '010': 17, '100': 6, '000': 38}"
FK12,malicious,0.25,circuit7443.qasm,10,1.0,0,✗,"{'100': 11, '110': 20, '101': 20, '010': 39, '001': 8, '000': 1, '111': 1}"
FK12,malicious,0.3,circuit8872.qasm,15,1.0,0,✗,"{'010': 16, '000': 33, '110': 35, '100': 16}"
FK12,malicious,0.3,circuit9534.qasm,13,0.0,1,✗,"{'111': 12, '011': 5, '100': 17, '101': 14, '001': 26, '000': 18, '010': 4, '110': 4}"
FK12,malicious,0.3,circuit2595.qasm,19,1.0,0,✗,"{'101': 10, '100': 14, '011': 38, '000': 6, '111': 28, '001': 3, '110': 1}"
FK12,malicious,0.3,circuit6682.qasm,16,0.0,1,✗,"{'011': 32, '111': 40, '000': 19, '100': 9}"
FK12,malicious,0.3,circuit5723.qasm,15,0.0,1,✗,"{'101': 30, '001': 26, '111': 12, '011': 11, '000': 2, '010': 14, '100': 2, '110': 3}"
FK12,malicious,0.3,circuit3926.qasm,12,1.0,0,✗,"{'011': 38, '111': 46, '100': 6, '000': 10}"
FK12,malicious,0.3,circuit2622.qasm,13,1.0,0,✗,"{'001': 33, '011': 8, '111': 15, '101': 31, '100': 2, '010': 5, '110': 5, '000': 1}"
FK12,malicious,0.3,circuit4617.qasm,10,0.0,1,✗,"{'011': 7, '111': 2, '010': 12, '100': 22, '000': 18, '110': 6, '101': 18, '001': 15}"
FK12,malicious,0.3,circuit3406.qasm,20,1.0,0,✗,"{'011': 7, '100': 9, '001': 23, '101': 17, '110': 24, '010': 10, '111': 4, '000': 6}"
FK12,malicious,0.3,circuit7046.qasm,12,1.0,0,✗,"{'111': 32, '100': 13, '011': 41, '110': 2, '101': 5, '000': 3, '001': 3, '010': 1}"
FK12,malicious,0.3,circuit5794.qasm,14,1.0,0,✗,"{'000': 33, '100': 27, '111': 11, '011': 7, '101': 4, '110': 12, '010': 5, '001': 1}"
FK12,malicious,0.3,circuit0354.qasm,21,1.0,0,✗,"{'100': 32, '111': 16, '000': 36, '010': 3, '011': 7, '110': 2, '101': 1, '001': 3}"
FK12,malicious,0.3,circuit3927.qasm,17,0.0,1,✗,"{'011': 22, '001': 23, '110': 4, '101': 36, '000': 5, '111': 7, '010': 2, '100': 1}"
FK12,malicious,0.3,circuit0338.qasm,18,1.0,0,✗,"{'000': 21, '100': 18, '101': 8, '111': 17, '011': 19, '001': 4, '110': 9, '010': 4}"
FK12,malicious,0.3,circuit2468.qasm,10,0.0,1,✗,"{'011': 52, '111': 42, '110': 3, '010': 3}"
FK12,malicious,0.3,circuit8996.qasm,13,1.0,0,✗,"{'111': 14, '011': 21, '100': 13, '101': 15, '001': 19, '110': 10, '010': 4, '000': 4}"
FK12,malicious,0.3,circuit1112.qasm,21,0.0,1,✗,"{'100': 32, '000': 28, '011': 18, '001': 4, '010': 11, '111': 4, '110': 2, '101': 1}"
FK12,malicious,0.35,circuit9797.qasm,16,1.0,0,✗,"{'000': 40, '110': 24, '010': 9, '100': 27}"
FK12,malicious,0.35,circuit3874.qasm,19,0.0,1,✗,"{'010': 38, '001': 12, '110': 32, '101': 8, '000': 7, '100': 2, '011': 1}"
FK12,malicious,0.35,circuit8872.qasm,14,1.0,0,✗,"{'000': 28, '100': 25, '010': 18, '110': 29}"
FK12,malicious,0.35,circuit0736.qasm,14,1.0,0,✗,"{'101': 8, '000': 21, '111': 17, '100': 16, '011': 17, '110': 13, '010': 7, '001': 1}"
FK12,malicious,0.35,circuit0614.qasm,19,0.0,1,✗,"{'000': 3, '110': 31, '010': 36, '011': 5, '001': 13, '101': 6, '111': 6}"
FK12,malicious,0.35,circuit4013.qasm,18,1.0,0,✗,"{'011': 14, '111': 18, '001': 8, '000': 12, '100': 16, '101': 14, '010': 12, '110': 6}"
FK12,malicious,0.35,circuit3926.qasm,24,1.0,0,✗,"{'011': 46, '111': 49, '100': 3, '000': 2}"
FK12,malicious,0.35,circuit4460.qasm,17,1.0,0,✗,"{'111': 15, '100': 40, '000': 38, '011': 7}"
FK12,malicious,0.35,circuit5594.qasm,18,0.0,1,✗,"{'110': 29, '000': 24, '010': 22, '111': 4, '100': 7, '011': 9, '001': 4, '101': 1}"
FK12,malicious,0.35,circuit2912.qasm,17,1.0,0,✗,"{'000': 29, '110': 25, '001': 5, '100': 18, '101': 7, '111': 7, '010': 7, '011': 2}"
FK12,malicious,0.35,circuit2468.qasm,11,0.0,1,✗,"{'111': 45, '011': 50, '010': 4, '110': 1}"
FK12,malicious,0.35,circuit9009.qasm,9,1.0,0,✗,"{'101': 30, '001': 30, '011': 4, '111': 12, '010': 11, '110': 9, '000': 3, '100': 1}"
FK12,malicious,0.35,circuit4361.qasm,15,1.0,0,✗,"{'100': 44, '111': 13, '000': 32, '011': 11}"
FK12,malicious,0.35,circuit7085.qasm,15,1.0,0,✗,"{'100': 23, '011': 34, '000': 15, '111': 28}"
FK12,malicious,0.35,circuit5450.qasm,20,1.0,0,✗,"{'111': 38, '100': 14, '011': 37, '000': 11}"
FK12,malicious,0.4,circuit8843.qasm,18,0.0,1,✗,"{'111': 12, '011': 20, '100': 35, '000': 33}"
FK12,malicious,0.4,circuit9797.qasm,14,1.0,0,✗,"{'110': 26, '000': 33, '100': 32, '010': 9}"
FK12,malicious,0.4,circuit0970.qasm,22,1.0,0,✗,"{'110': 33, '010': 26, '001': 4, '100': 12, '000': 13, '011': 5, '101': 5, '111': 2}"
FK12,malicious,0.4,circuit2595.qasm,23,1.0,0,✗,"{'100': 12, '111': 32, '101': 6, '010': 1, '011': 34, '001': 3, '000': 9, '110': 3}"
FK12,malicious,0.4,circuit9496.qasm,27,0.0,1,✗,"{'100': 8, '111': 29, '010': 5, '011': 25, '101': 5, '000': 15, '001': 10, '110': 3}"
FK12,malicious,0.4,circuit7338.qasm,23,0.0,1,✗,"{'001': 1, '110': 12, '100': 9, '011': 19, '111': 26, '000': 17, '010': 14, '101': 2}"
FK12,malicious,0.4,circuit5723.qasm,26,0.0,1,✗,"{'001': 26, '101': 26, '011': 12, '111': 19, '110': 3, '010': 10, '000': 3, '100': 1}"
FK12,malicious,0.4,circuit4013.qasm,20,1.0,0,✗,"{'010': 8, '001': 14, '110': 13, '101': 15, '111': 17, '011': 9, '100': 14, '000': 10}"
FK12,malicious,0.4,circuit3926.qasm,12,1.0,0,✗,"{'111': 42, '000': 8, '100': 9, '011': 41}"
FK12,malicious,0.4,circuit2622.qasm,22,1.0,0,✗,"{'110': 6, '111': 16, '011': 9, '101': 29, '010': 7, '001': 30, '100': 2, '000': 1}"
FK12,malicious,0.4,circuit5990.qasm,12,0.0,1,✗,"{'110': 35, '001': 16, '010': 36, '111': 5, '101': 5, '100': 1, '000': 1, '011': 1}"
FK12,malicious,0.4,circuit3406.qasm,20,1.0,0,✗,"{'001': 25, '101': 20, '110': 19, '011': 6, '111': 6, '010': 13, '100': 6, '000': 5}"
FK12,malicious,0.4,circuit5794.qasm,21,1.0,0,✗,"{'111': 15, '110': 12, '001': 2, '000': 26, '100': 24, '010': 12, '101': 2, '011': 7}"
FK12,malicious,0.4,circuit4065.qasm,18,1.0,0,✗,"{'110': 28, '111': 18, '010': 18, '101': 7, '011': 19, '001': 4, '000': 3, '100': 3}"
FK12,malicious,0.4,circuit0338.qasm,24,1.0,0,✗,"{'110': 8, '011': 16, '010': 4, '000': 16, '100': 21, '101': 6, '111': 24, '001': 5}"
FK12,malicious,0.4,circuit2149.qasm,20,0.0,1,✗,"{'111': 13, '011': 17, '100': 34, '000': 36}"
FK12,malicious,0.4,circuit9745.qasm,22,0.0,1,✗,"{'011': 21, '110': 8, '101': 23, '001': 28, '111': 12, '010': 3, '000': 4, '100': 1}"
FK12,malicious,0.4,circuit7117.qasm,12,0.0,1,✗,"{'011': 32, '111': 33, '001': 13, '010': 2, '101': 9, '110': 1, '000': 6, '100': 4}"
FK12,malicious,0.4,circuit2758.qasm,20,1.0,0,✗,"{'100': 22, '000': 32, '011': 11, '010': 4, '110': 15, '111': 14, '101': 2}"
FK12,malicious,0.4,circuit2912.qasm,28,1.0,0,✗,"{'100': 26, '000': 27, '010': 16, '110': 18, '111': 3, '001': 4, '011': 2, '101': 4}"
FK12,malicious,0.4,circuit5951.qasm,17,1.0,0,✗,"{'101': 9, '000': 18, '010': 7, '111': 13, '100': 18, '110': 12, '011': 17, '001': 6}"
FK12,malicious,0.4,circuit2468.qasm,26,0.0,1,✗,"{'011': 46, '111': 45, '010': 6, '110': 3}"
FK12,malicious,0.4,circuit5525.qasm,22,0.0,1,✗,"{'110': 19, '100': 25, '000': 30, '010': 26}"
FK12,malicious,0.4,circuit7253.qasm,19,0.0,1,✗,"{'100': 14, '000': 20, '010': 22, '110': 29, '011': 3, '001': 7, '111': 2, '101': 3}"
FK12,malicious,0.4,circuit5450.qasm,19,1.0,0,✗,"{'000': 10, '011': 35, '111': 40, '100': 15}"
FK12,malicious,0.45,circuit5463.qasm,24,1.0,0,✗,"{'111': 35, '011': 38, '000': 9, '100': 18}"
FK12,malicious,0.45,circuit8843.qasm,21,0.0,1,✗,"{'000': 39, '011': 17, '100': 39, '111': 5}"
FK12,malicious,0.45,circuit3966.qasm,21,0.0,1,✗,"{'001': 46, '101': 43, '100': 6, '000': 5}"
FK12,malicious,0.45,circuit6764.qasm,24,1.0,0,✗,"{'000': 32, '011': 17, '100': 41, '111': 10}"
FK12,malicious,0.45,circuit8872.qasm,24,1.0,0,✗,"{'000': 35, '110': 26, '100': 27, '010': 12}"
FK12,malicious,0.45,circuit0389.qasm,26,0.0,1,✗,"{'000': 23, '110': 31, '010': 25, '100': 14, '001': 5, '111': 1, '101': 1}"
FK12,malicious,0.45,circuit9534.qasm,20,0.0,1,✗,"{'101': 12, '111': 7, '010': 6, '110': 11, '100': 19, '001': 18, '000': 18, '011': 9}"
FK12,malicious,0.45,circuit7354.qasm,21,0.0,1,✗,"{'111': 5, '010': 49, '110': 39, '011': 7}"
FK12,malicious,0.45,circuit6467.qasm,27,0.0,1,✗,"{'111': 11, '110': 14, '000': 15, '101': 11, '011': 13, '001': 17, '100': 9, '010': 10}"
FK12,malicious,0.45,circuit2595.qasm,24,1.0,0,✗,"{'111': 22, '101': 8, '000': 9, '100': 19, '011': 32, '110': 3, '001': 4, '010': 3}"
FK12,malicious,0.45,circuit1761.qasm,19,0.0,1,✗,"{'011': 22, '101': 29, '111': 20, '001': 29}"
FK12,malicious,0.45,circuit0614.qasm,19,0.0,1,✗,"{'011': 10, '010': 37, '110': 33, '001': 11, '100': 1, '101': 4, '111': 3, '000': 1}"
FK12,malicious,0.45,circuit1952.qasm,19,0.0,1,✗,"{'111': 26, '011': 44, '010': 16, '110': 14}"
FK12,malicious,0.45,circuit8080.qasm,30,0.0,1,✗,"{'001': 12, '010': 22, '011': 15, '101': 6, '111': 17, '110': 17, '100': 6, '000': 5}"
FK12,malicious,0.45,circuit5723.qasm,21,0.0,1,✗,"{'111': 18, '110': 3, '000': 1, '011': 21, '010': 3, '001': 28, '100': 5, '101': 21}"
FK12,malicious,0.45,circuit4013.qasm,24,1.0,0,✗,"{'101': 14, '011': 10, '001': 16, '100': 17, '111': 13, '110': 14, '010': 7, '000': 9}"
FK12,malicious,0.45,circuit6073.qasm,34,0.0,1,✗,"{'101': 31, '001': 38, '010': 8, '110': 11, '111': 7, '000': 1, '011': 4}"
FK12,malicious,0.45,circuit5351.qasm,19,1.0,0,✗,"{'010': 31, '110': 36, '000': 2, '011': 8, '001': 8, '101': 11, '100': 2, '111': 2}"
FK12,malicious,0.45,circuit7046.qasm,20,1.0,0,✗,"{'111': 40, '110': 2, '011': 36, '000': 7, '100': 5, '001': 6, '101': 4}"
