protocol,noise_model,parameter,circuit_label,n_failed_test_rounds,decoded_output,correct_value,match,computation_outcomes_count
FK12,malicious,0.0,circuit7967.qasm,0,1,1,✓,60
FK12,malicious,0.0,circuit7404.qasm,0,1,1,✓,53
FK12,malicious,0.0,circuit5671.qasm,0,1,1,✓,54
FK12,malicious,0.0,circuit2994.qasm,0,1,1,✓,67
FK12,malicious,0.0,circuit5337.qasm,0,1,1,✓,59
FK12,malicious,0.0,circuit6783.qasm,0,0,0,✓,32
FK12,malicious,0.0,circuit6034.qasm,0,1,1,✓,73
FK12,malicious,0.0,circuit9352.qasm,0,0,0,✓,37
FK12,malicious,0.0,circuit9853.qasm,0,0,0,✓,31
FK12,malicious,0.0,circuit1397.qasm,0,0,0,✓,31
FK12,malicious,0.0,circuit3928.qasm,0,1,1,✓,66
FK12,malicious,0.0,circuit2788.qasm,0,1,1,✓,63
FK12,malicious,0.0,circuit9351.qasm,0,0,0,✓,33
FK12,malicious,0.0,circuit3825.qasm,0,1,1,✓,64
FK12,malicious,0.0,circuit0138.qasm,0,1,1,✓,66
FK12,malicious,0.0,circuit5996.qasm,0,1,1,✓,62
FK12,malicious,0.0,circuit2875.qasm,0,1,1,✓,66
FK12,malicious,0.0,circuit5163.qasm,0,0,0,✓,35
FK12,malicious,0.0,circuit0913.qasm,0,1,1,✓,61
FK12,malicious,0.0,circuit5446.qasm,0,1,1,✓,67
FK12,malicious,0.0,circuit6984.qasm,0,1,1,✓,66
FK12,malicious,0.0,circuit3513.qasm,0,1,1,✓,57
FK12,malicious,0.0,circuit9941.qasm,0,0,0,✓,39
FK12,malicious,0.0,circuit8195.qasm,0,1,1,✓,60
FK12,malicious,0.0,circuit7761.qasm,0,1,1,✓,71
FK12,malicious,0.0,circuit0453.qasm,0,0,0,✓,40
FK12,malicious,0.0,circuit7967.qasm,0,0,1,✗,44
FK12,malicious,0.0,circuit5337.qasm,0,1,1,✓,76
FK12,malicious,0.0,circuit2994.qasm,0,1,1,✓,55
FK12,malicious,0.0,circuit6034.qasm,0,1,1,✓,53
FK12,malicious,0.0,circuit6783.qasm,0,0,0,✓,31
FK12,malicious,0.0,circuit7967.qasm,0,1,1,✓,50
FK12,malicious,0.0,circuit9352.qasm,0,0,0,✓,7
FK12,malicious,0.0,circuit5671.qasm,0,0,0,✓,0
FK12,malicious,0.0,circuit7404.qasm,0,0,0,✓,33
