protocol,noise_model,parameter,circuit_label,n_failed_test_rounds,output2[0],output3,match,computation_outcomes_count
FK12,depolarising,0.005,circuit3099.qasm,9,None,1,✗,"{'110': 8, '100': 2, '010': 2, '011': 4, '000': 1, '101': 2, '001': 1}"
FK12,depolarising,0.01,circuit3099.qasm,14,None,1,✗,"{'110': 6, '000': 1, '101': 6, '010': 6, '001': 1}"
FK12,depolarising,0.05,circuit3099.qasm,20,None,1,✗,"{'001': 2, '011': 5, '111': 3, '110': 3, '010': 1, '100': 1, '000': 3, '101': 2}"
FK12,malicious,0.1,circuit3099.qasm,0,1,1,✓,"{'001': 1, '110': 10, '010': 6, '100': 2, '101': 1}"
FK12,malicious,0.2,circuit3099.qasm,2,None,1,✗,"{'000': 2, '101': 3, '110': 7, '010': 4, '100': 3, '111': 1}"
FK12,malicious,0.3,circuit3099.qasm,3,None,1,✗,"{'000': 3, '101': 3, '100': 2, '010': 6, '110': 5, '001': 1}"
FK12,malicious,0.4,circuit3099.qasm,2,None,1,✗,"{'010': 9, '110': 8, '000': 1, '100': 1, '011': 1}"
FK12,malicious,0.5,circuit3099.qasm,3,None,1,✗,"{'100': 1, '001': 4, '010': 8, '110': 5, '011': 1, '000': 1}"
Dummyless,depolarising,0.005,circuit3099.qasm,4,None,1,✗,"{'110': 9, '111': 2, '001': 1, '010': 3, '100': 2, '000': 2, '011': 1}"
Dummyless,depolarising,0.01,circuit3099.qasm,9,None,1,✗,"{'010': 4, '011': 5, '100': 6, '101': 2, '110': 1, '000': 1, '001': 1}"
Dummyless,depolarising,0.05,circuit3099.qasm,9,None,1,✗,"{'010': 5, '110': 2, '011': 5, '101': 3, '100': 2, '001': 3}"
Dummyless,malicious,0.1,circuit3099.qasm,3,None,1,✗,"{'010': 4, '011': 1, '000': 3, '110': 9, '100': 2, '101': 1}"
Dummyless,malicious,0.2,circuit3099.qasm,4,1,1,✓,"{'011': 1, '110': 10, '010': 5, '100': 2, '000': 1, '101': 1}"
Dummyless,malicious,0.3,circuit3099.qasm,8,None,1,✗,"{'010': 9, '101': 3, '100': 2, '000': 1, '110': 4, '001': 1}"
Dummyless,malicious,0.4,circuit3099.qasm,8,None,1,✗,"{'010': 6, '110': 8, '011': 2, '100': 2, '101': 1, '001': 1}"
Dummyless,malicious,0.5,circuit3099.qasm,11,None,1,✗,"{'101': 3, '100': 2, '000': 2, '110': 9, '010': 4}"
