protocol,noise_model,parameter,n_failed_test_rounds,output2[0],output3,match,computation_outcomes_count
FK12,depolarising,0.0001,0,0,0,✓,"{'000': 99, '001': 1}"
FK12,depolarising,0.001,1,0,0,✓,"{'000': 96, '010': 1, '110': 1, '011': 1, '001': 1}"
FK12,depolarising,0.005,6,0,0,✓,"{'000': 92, '100': 1, '010': 3, '001': 4}"
FK12,depolarising,0.01,11,0,0,✓,"{'000': 83, '100': 5, '111': 1, '010': 2, '001': 5, '110': 2, '011': 2}"
FK12,depolarising,0.05,48,0,0,✓,"{'010': 12, '001': 13, '000': 54, '110': 7, '100': 5, '101': 3, '011': 5, '111': 1}"
FK12,depolarising,0.1,56,None,0,✗,"{'110': 14, '010': 13, '001': 18, '000': 23, '100': 16, '011': 5, '111': 7, '101': 4}"
FK12,malicious,0.1,5,0,0,✓,"{'000': 90, '100': 10}"
FK12,malicious,0.2,7,0,0,✓,"{'100': 24, '000': 76}"
FK12,malicious,0.3,7,0,0,✓,"{'000': 73, '100': 27}"
FK12,malicious,0.4,14,0,0,✓,"{'100': 31, '000': 69}"
FK12,malicious,0.5,17,0,0,✓,"{'000': 60, '100': 40}"
Dummyless,depolarising,0.0001,0,0,0,✓,"{'000': 98, '001': 2}"
Dummyless,depolarising,0.001,2,0,0,✓,"{'000': 96, '110': 2, '100': 1, '010': 1}"
Dummyless,depolarising,0.005,9,0,0,✓,"{'000': 92, '001': 1, '010': 3, '110': 2, '100': 2}"
Dummyless,depolarising,0.01,15,0,0,✓,"{'100': 5, '110': 2, '000': 84, '010': 7, '001': 2}"
Dummyless,depolarising,0.05,45,None,0,✗,"{'000': 45, '011': 6, '110': 11, '100': 11, '010': 12, '111': 4, '101': 4, '001': 7}"
Dummyless,depolarising,0.1,50,None,0,✗,"{'110': 7, '011': 6, '001': 17, '010': 18, '101': 8, '000': 27, '100': 13, '111': 4}"
Dummyless,malicious,0.1,9,0,0,✓,"{'000': 88, '100': 12}"
Dummyless,malicious,0.2,15,0,0,✓,"{'000': 74, '100': 26}"
Dummyless,malicious,0.3,28,0,0,✓,"{'000': 72, '100': 28}"
Dummyless,malicious,0.4,37,0,0,✓,"{'000': 60, '100': 40}"
Dummyless,malicious,0.5,46,1,0,✗,"{'000': 45, '100': 55}"
RandomTraps,depolarising,0.0001,0,0,0,✓,{'000': 100}
RandomTraps,depolarising,0.001,0,0,0,✓,"{'000': 95, '100': 2, '001': 3}"
RandomTraps,depolarising,0.005,3,0,0,✓,"{'000': 90, '010': 6, '100': 2, '001': 2}"
RandomTraps,depolarising,0.01,6,0,0,✓,"{'000': 83, '011': 3, '001': 4, '100': 6, '010': 1, '101': 1, '110': 2}"
RandomTraps,depolarising,0.05,25,None,0,✗,"{'011': 9, '000': 40, '010': 12, '100': 10, '110': 9, '111': 6, '001': 9, '101': 5}"
RandomTraps,depolarising,0.1,33,None,0,✗,"{'101': 8, '000': 21, '011': 6, '100': 17, '110': 12, '001': 16, '111': 9, '010': 11}"
RandomTraps,malicious,0.1,6,0,0,✓,"{'000': 90, '100': 10}"
RandomTraps,malicious,0.2,7,0,0,✓,"{'000': 82, '100': 18}"
RandomTraps,malicious,0.3,14,0,0,✓,"{'000': 67, '100': 33}"
RandomTraps,malicious,0.4,12,0,0,✓,"{'000': 60, '100': 40}"
RandomTraps,malicious,0.5,14,1,0,✗,"{'000': 49, '100': 51}"
